headline,source,promoted,promotion_reason,recovered_date,theme,narrative_type
Libyan Forces Foil Migrant Smuggling Operation Near Sudan Border,Libya Review,no,not_promoted:date_recovery_failed,,Oil & Energy,economy_sub_story
French Police Uncover Migrant Smuggling Network Using Livestock Ships from Libya,Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,development
“Mellitah” Restoration Lifts Libya’s Oil Production,Libya Review,no,not_promoted:date_recovery_failed,,Oil & Energy,economy_sub_story
Oil Surge Lifts Libya to Highest Production in Over Ten Years,Libya Review,no,not_promoted:date_recovery_failed,,Oil & Energy,economy_sub_story
Oil Flows Again at Libya’s Mabruk Field as TotalEnergies Restarts Production,Libya Review,no,not_promoted:date_recovery_failed,,Oil & Energy,economy_sub_story
New Well Lifts Production at Libya’s Al-Bayda Oil Field,Libya Review,yes,review_queue_recovered:article_text; narrative_type=economy_sub_story; theme=Oil & Energy; marker=oil,2026-06-17,Oil & Energy,economy_sub_story
Libya Sets Sights on Higher Oil Production by 2026,Libya Review,yes,review_queue_recovered:article_text; narrative_type=meeting; theme=Oil & Energy; marker=oil,2026-06-17,Oil & Energy,meeting
Libya Advances Plan to Stabilise and Expand Oil Production,Libya Review,no,not_promoted:date_recovery_failed,,Oil & Energy,proposal
Turkey Engages in Talks with Egypt to Promote Peace in Libya,Libya Review,yes,review_queue_recovered:article_text; narrative_type=meeting; theme=Regional Diplomacy; marker=foreign minister,2026-06-17,Regional Diplomacy,meeting
Libyan Government Delegation Visits Egypt for Energy Trade Talks,Libya Review,no,not_promoted:date_recovery_failed,,Oil & Energy,meeting
Egypt & UN Hold Talks on Libya,Libya Review,no,not_promoted:date_recovery_failed,,Other UN News,meeting
Ryanair in Talks to Operate Flights to Libya & Egypt,Libya Review,no,not_promoted:date_recovery_failed,,Public Administration,statement
Egypt Holds Talks to Prevent Military Escalation in Libya,Libya Review,no,not_promoted:date_recovery_failed,,International Relations,meeting
US-Egypt Reiterate Support for UN-led Talks in Libya,Libya Review,no,not_promoted:date_recovery_failed,,Society,reaction_support
"From Our Own Correspondent. Libya, Egypt, Guinea-Bissau, Morocco, Cambodia and Taiwan. Listen Now From Our Own Correspondent Libya, Egypt, GuineaâBissau, Morocco, Cambodia and Taiwan",BBC,no,not_promoted:date_recovery_failed,,International Relations,diplomatic_context
Libya flood: The devastation of an Egyptian village 560 miles away,BBC,no,not_promoted:date_recovery_failed,,Environmental Risks,development
Libya conflict: Why Egypt might send troops to back Gen Haftar,BBC,no,not_promoted:date_recovery_failed,,International Relations,diplomatic_context
Libyan forces capture Egyptian jihadist Hisham Ashmawi,BBC,no,not_promoted:date_recovery_failed,,Society,development
Qatar recalls envoy to Egypt in row over Libya strikes,BBC,no,not_promoted:date_recovery_failed,,International Relations,diplomatic_context
Libya Explores PETEX Technology for Oil Production,Libya Review,no,not_promoted:date_recovery_failed,,Oil & Energy,meeting
US Warns of Persistent Risks Facing Libya Since 2011,Libya Review,no,not_promoted:date_recovery_failed,,International Relations,reaction_opposition
Libya Bank Systems Targeted in Cyber Incident,Libya Review,no,not_promoted:date_recovery_failed,,Banking & Finance,economy_sub_story
Europe’s Migration Policies Push Libya to Frontline,Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,development
"Egypt Repatriates 1,379 Migrants Detained in Libya",Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,development
Hundreds of Egyptians Return Home From Libya,Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,development
الثقافة الإسلامية - المنصة الليبية,Al Menassa,yes,review_queue_recovered:page_metadata; narrative_type=development; theme=Culture; marker=ثقافة,2026-06-16,Culture,development
نائب القائد العام يهنئ المستشار عقيلة صالح بمناسبة انتخابه رئيساً للمجلس البرلماني الآسيوي الأفريقي,Libya 24,yes,review_queue_recovered:url_exact_date; narrative_type=development; theme=Other Political News; marker=آسيوي,2026-06-16,Other Political News,development
رئيس مجلس النواب يبحث تعزيز التعاون مع وفود من الصومال وباكستان والصين,Libya 24,yes,review_queue_recovered:url_exact_date; narrative_type=meeting; theme=Other Political News; marker=مجلس النواب,2026-06-16,Other Political News,meeting
الغرياني يصعّد هجومه على مسار التسوية الليبية.. والحوار المهيكل يرد: التخوين لن يوقف الاستحقاق السياسي,Libya 24,yes,review_queue_recovered:url_exact_date; narrative_type=development; theme=Political Process; marker=الحوار المهيكل,2026-06-16,Political Process,development
خالد حفتر يبحث مع خوري آخر مستجدات الأوضاع السياسية في ليبيا – وكالة ريبورتاج الإخبارية,RNA Reportage,yes,review_queue_recovered:page_metadata; narrative_type=meeting; theme=Other UN News; marker=خوري,2026-06-16,Other UN News,meeting
عقد الاجتماع الثاني لفريق العمل الليبي الجزائري التونسي المكلّف بتأمين الحدود المشتركة – وكالة ريبورتاج الإخبارية,RNA Reportage,yes,review_queue_recovered:page_metadata; narrative_type=diplomatic_context; theme=International Relations; marker=تونس,2026-06-16,International Relations,diplomatic_context
حكومة الوحدة تبحث آفاق التعاون التربوي والتعليمي مع العراق – وكالة ريبورتاج الإخبارية,RNA Reportage,yes,review_queue_recovered:page_metadata; narrative_type=meeting; theme=Government Affairs; marker=حكومة الوحدة,2026-06-16,Government Affairs,meeting
“العامة للكهرباء” تعلن صيانة خط مصراتة الخليج – وكالة ريبورتاج الإخبارية,RNA Reportage,yes,review_queue_recovered:page_metadata; narrative_type=statement; theme=Other Economic News; marker=كهرباء,2026-06-16,Other Economic News,statement
إعادة الكهرباء إلى مناطق في بنغازي – وكالة ريبورتاج الإخبارية,RNA Reportage,yes,review_queue_recovered:page_metadata; narrative_type=economy_sub_story; theme=Other Economic News; marker=كهرباء,2026-06-16,Other Economic News,economy_sub_story
نوفا: استمرار احتجاز 10 نشطاء من قافلة الصمود في بنغازي بأمر من صدام حفتر...,Tanasuh,yes,review_queue_recovered:page_metadata; narrative_type=human_rights_item; theme=Human Rights; marker=احتجاز,2026-06-16,Human Rights,human_rights_item
اجتماع ليبي جزائري تونسي في طرابلس لبحث تأمين الحدود المشتركة,Tanasuh,yes,review_queue_recovered:page_metadata; narrative_type=meeting; theme=International Relations; marker=تونس,2026-06-16,International Relations,meeting
السجن 10 سنوات لمدانين بالاستيلاء على عقارات مخصصة لجمعية «واعتصموا» وأملاك عامة في طرابلس,Tanasuh,yes,review_queue_recovered:page_metadata; narrative_type=human_rights_item; theme=Human Rights; marker=سجن,2026-06-16,Human Rights,human_rights_item
17 يونيو، 2026 1:26 ص عميد بلدية بنغازي يبحث مع سفير الصين تطوير التعاون والشراكة بين الجانبين,Akhbar Libya 24,yes,review_queue_recovered:url_exact_date; narrative_type=municipal_position; theme=Public Administration; marker=بلدية,2026-06-17,Public Administration,municipal_position
